strategy,fold,trade_id,allocated_cash,position_weight,net_return_pct,net_pnl,is_win
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,49,102794.31782858525,1.0,-0.6273016169294101,-644.8304178502722,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,50,102149.48741073498,1.0,-7.210320627979138,-7365.305562151178,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,51,47392.0909242919,0.5,4.134364716296482,1959.3618854890715,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,52,48371.77186703644,0.5,15.136987336701461,7322.028982051425,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,53,104065.5727161243,1.0,2.9583934938520824,3078.669132573729,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,54,107144.24184869803,1.0,0.06605762468730263,70.77694115446877,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,55,107215.0187898525,1.0,-1.346216026482387,-1443.345765745097,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,56,105771.67302410741,1.0,5.497754670184158,5815.067093414783,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,57,111586.74011752219,1.0,2.295477205882846,2561.448184185451,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,58,114148.18830170765,1.0,7.078730212347983,8080.242292160845,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,59,122228.43059386848,1.0,-1.286164229471316,-1572.0583525425109,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,60,120656.37224132597,1.0,1.517404502909183,1830.8452254367455,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,61,122487.21746676271,1.0,3.3767240448795746,4136.055324104111,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,62,126623.27279086682,1.0,-0.30427974400942737,-385.2889703044084,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,63,126237.98382056241,1.0,4.172183751861821,5266.880649639459,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,64,131504.86447020186,1.0,-10.882838044193077,-14311.461420527674,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,65,58596.701524837095,0.5,0.22878747434856342,134.06191347024094,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,66,58663.73248157222,0.5,-2.6365297372929586,-1546.68675188264,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,67,57890.38910563089,0.5,4.9728426808959965,2878.797977581579,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,68,59329.78809442168,0.5,0.4996834263136275,296.4611179748209,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,69,118956.03730681818,1.0,-4.683487828409408,-5571.291528422985,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,70,56692.3728891976,0.5,-1.9375551346834285,-1098.445981888524,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,71,56143.14989825334,0.5,6.0481421040090275,3395.6174875131614,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,72,57840.95864200992,0.5,3.3689823507045142,1948.6516881276116,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,73,117630.56897214745,1.0,0.21650905102891058,254.6808286015046,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,74,117885.24980074895,1.0,-3.5317754150722567,-4163.442270459368,0
