strategy,fold,trade_id,holding_period,exit_reason,net_return_pct,net_pnl,is_win
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,57,2,PROFIT_TARGET,2.8970000000000113,5153.142402001932,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,58,10,TIME_LIMIT_10D,-6.681807631696442,-12229.82745611549,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,59,4,PROFIT_TARGET,2.8970000000000047,4948.13083598425,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,60,1,PROFIT_TARGET,2.89700000000001,5091.478186302723,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,61,9,PROFIT_TARGET,2.8969999999999962,5238.978309359889,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,62,1,PROFIT_TARGET,2.897000000000009,5390.751510982069,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,63,10,TIME_LIMIT_10D,-2.9135851145762537,-5578.677305412675,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,64,10,TIME_LIMIT_10D,-2.4379105151277187,-4531.894130346225,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,65,10,TIME_LIMIT_10D,-3.8624783477008373,-7005.016233828532,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,66,10,TIME_LIMIT_10D,-2.518877944279615,-4391.805862007185,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,67,5,PROFIT_TARGET,2.8969999999999994,4923.852391644905,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,68,4,PROFIT_TARGET,2.8970000000000007,5066.4963954308605,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,69,2,PROFIT_TARGET,2.8969999999999936,5213.272796006479,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,70,4,PROFIT_TARGET,2.897000000000011,5364.301308906818,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,71,10,TIME_LIMIT_10D,-7.77525956150009,-14814.33896929108,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,72,2,PROFIT_TARGET,2.897000000000003,5090.533717885472,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,73,1,PROFIT_TARGET,2.8970000000000073,5238.006479692622,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,74,10,TIME_LIMIT_10D,-11.199994086669609,-20837.13677445726,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,75,4,PROFIT_TARGET,2.8970000000000025,4786.09967505328,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,76,3,PROFIT_TARGET,2.897000000000011,4924.7529826395885,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,77,10,TIME_LIMIT_10D,-6.064385599069148,-10607.803772799487,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,78,1,PROFIT_TARGET,2.897000000000003,4760.115001248642,1
