asset,feature_config,feature_count,model,fold,train_samples,validation_samples,accuracy,precision,recall,f1,roc_auc,training_time,prediction_time,is_model_collapse
hdfcbank_ns,ALL_32,32,logistic_regression,1,1312,1405,0.5138790035587188,0.5367483296213809,0.3365921787709497,0.41373390557939915,0.5312350503928452,0.06464039999991655,0.0064492999808862805,False
hdfcbank_ns,ALL_32,32,random_forest,1,1312,1405,0.4811387900355872,0.4155844155844156,0.0446927374301676,0.0807061790668348,0.47588805734162537,0.557114899973385,0.19304969999939203,True
hdfcbank_ns,ALL_32,32,xgboost,1,1312,1405,0.4811387900355872,0.4873294346978557,0.34916201117318435,0.40683482506102525,0.4808178803382766,0.3851455000694841,0.009891699999570847,False
hdfcbank_ns,ALL_32,32,logistic_regression,2,2717,1408,0.5071022727272727,0.508,0.7154929577464789,0.5941520467836258,0.515581742604625,0.06440979999024421,0.006354000070132315,False
hdfcbank_ns,ALL_32,32,random_forest,2,2717,1408,0.5163352272727273,0.638095238095238,0.09436619718309859,0.16441717791411042,0.5019320795835183,0.6585133000044152,0.203574400045909,False
hdfcbank_ns,ALL_32,32,xgboost,2,2717,1408,0.5113636363636364,0.5774647887323944,0.11549295774647887,0.19248826291079812,0.5190080309939868,0.54357040009927,0.013128000078722835,False
hdfcbank_ns,ALL_32,32,logistic_regression,3,4125,1410,0.5148936170212766,0.5457685664939551,0.4287652645861601,0.48024316109422494,0.5311360259354316,0.07854310004040599,0.004967899993062019,False
hdfcbank_ns,ALL_32,32,random_forest,3,4125,1410,0.4907801418439716,0.5407725321888412,0.17096336499321574,0.2597938144329897,0.5108860667619622,0.9352999000111595,0.2553019999759272,False
hdfcbank_ns,ALL_32,32,xgboost,3,4125,1410,0.5049645390070922,0.5665529010238908,0.22523744911804613,0.32233009708737864,0.5115604605635875,0.6161214000312611,0.012485200073570013,False
hdfcbank_ns,SHORTLIST_16,16,logistic_regression,1,1341,1405,0.502491103202847,0.5157116451016636,0.38966480446927376,0.4439140811455847,0.5082825891300646,0.018379700020886958,0.005201199906878173,False
hdfcbank_ns,SHORTLIST_16,16,random_forest,1,1341,1405,0.4896797153024911,0.49928057553956834,0.48463687150837986,0.49184975194897235,0.4830324492625536,0.5619599000783637,0.19300279999151826,False
hdfcbank_ns,SHORTLIST_16,16,xgboost,1,1341,1405,0.4918149466192171,0.5012468827930174,0.5614525139664804,0.5296442687747036,0.49720264977986073,0.4033309000078589,0.01196679996792227,False
hdfcbank_ns,SHORTLIST_16,16,logistic_regression,2,2746,1408,0.5113636363636364,0.5178571428571429,0.44929577464788734,0.48114630467571645,0.5217623794341983,0.017476600012741983,0.007704499992541969,False
hdfcbank_ns,SHORTLIST_16,16,random_forest,2,2746,1408,0.5142045454545454,0.5235507246376812,0.4070422535211268,0.45800316957210774,0.5069080673150651,0.6647311999695376,0.20405960001517087,False
hdfcbank_ns,SHORTLIST_16,16,xgboost,2,2746,1408,0.5213068181818182,0.5308219178082192,0.43661971830985913,0.47913446676970634,0.5355280681222002,0.35479859996121377,0.012662900029681623,False
hdfcbank_ns,SHORTLIST_16,16,logistic_regression,3,4154,1410,0.5283687943262412,0.5447761194029851,0.5943012211668928,0.5684620376378975,0.5226259624476564,0.02417109999805689,0.004416499985381961,False
hdfcbank_ns,SHORTLIST_16,16,random_forest,3,4154,1410,0.5106382978723404,0.5304798962386511,0.5549525101763908,0.5424403183023873,0.5184052048282161,0.852562400046736,0.21839499997440726,False
hdfcbank_ns,SHORTLIST_16,16,xgboost,3,4154,1410,0.5163120567375886,0.5347661188369153,0.5739484396200815,0.5536649214659686,0.5223215275775653,0.3635415999451652,0.011441900045610964,False
