strategy,fold,trade_id,net_return_pct,net_pnl,is_win
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,25,8.492955222829172,11986.020796501722,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,26,-2.5484697513279833,-3902.089395624984,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,27,7.503150533681496,11195.669109550588,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,28,2.6802750902334473,4299.39113723246,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,29,-0.08076108344159005,-133.01993974206164,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,30,-1.2194931073616089,-2006.9801521253726,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,31,-7.262665309791042,-11806.767434433712,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,32,6.20346938604105,9352.424938202,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,33,-5.8401143472215375,-9350.81882910747,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,34,5.207873535478182,7851.536322821284,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,35,0.6069633218343713,962.7308866396418,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,36,-2.931638940982372,-4678.223645997963,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,37,-1.9345894578030913,-2996.6568316705843,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,38,-4.073510768520017,-6187.752215938272,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,39,-2.8903124473834865,-4211.602638395061,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,40,2.3939584071057998,3387.51910563482,1
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,41,-0.05245522134571706,-76.00255794556699,0
Candidate D: Meta-Filtered High Quality (P_meta >= 0.55),1,42,-2.3506267993045062,-3404.0450459337067,0
