feature_config,feature_count,model,fold,accuracy,precision,recall,f1,roc_auc,training_time,prediction_time
TREND_MOMENTUM,10,logistic_regression,3,0.5060326472675657,0.5419103313840156,0.3761840324763194,0.4440894568690096,0.4972330499060853,0.13965199992526323,0.006272800033912063
TREND_MOMENTUM,10,random_forest,3,0.48261178140525196,0.515625,0.2232746955345061,0.311614730878187,0.5012178619756428,0.6419717000098899,0.16012899996712804
TREND_MOMENTUM,10,xgboost,3,0.48403122782114977,0.5161290322580645,0.2598105548037889,0.34563456345634563,0.49410356875971967,0.3963956000516191,0.011146900011226535
PRICE_VOLUME,11,logistic_regression,1,0.5277777777777778,0.5275196568977841,0.9972972972972973,0.6900420757363254,0.4782786551611853,0.02149810001719743,0.0026772000128403306
PRICE_VOLUME,11,random_forest,1,0.4807692307692308,0.5310734463276836,0.12702702702702703,0.2050163576881134,0.4987707587105178,0.4707343999762088,0.17332409997470677
PRICE_VOLUME,11,xgboost,1,0.47507122507122507,0.5145631067961165,0.07162162162162163,0.1257413997627521,0.5054664604363399,0.3321635000174865,0.008397699915803969
PRICE_VOLUME,11,logistic_regression,2,0.4953802416488984,0.4953802416488984,1.0,0.6625475285171103,0.5159112494190394,0.01842960005160421,0.002948199980892241
PRICE_VOLUME,11,random_forest,2,0.5046197583511016,0.5,0.4763271162123386,0.4878765613519471,0.5009244852183401,0.5869318000040948,0.2459277999587357
PRICE_VOLUME,11,xgboost,2,0.5046197583511016,0.5,0.5078909612625538,0.5039145907473309,0.5221916867055995,0.3106422999408096,0.0073778999503701925
PRICE_VOLUME,11,logistic_regression,3,0.5237757274662882,0.5241477272727273,0.9986468200270636,0.6874708896134141,0.5104497808656312,0.020873299916274846,0.0037063000490888953
PRICE_VOLUME,11,random_forest,3,0.48332150461320084,0.5462184873949579,0.08795669824086604,0.15151515151515152,0.510507341506271,0.6722169000422582,0.2218719000229612
PRICE_VOLUME,11,xgboost,3,0.4854506742370476,0.5388888888888889,0.13125845737483086,0.21109902067464636,0.50429180215297,0.40149489999748766,0.009281200007535517
