architecture,asset,entry_date,exit_date,net_return_pct,net_pnl,is_win
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2007-10-19,2007-11-02,29.514022881874848,6626.2876888017545,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2007-10-31,2007-11-14,-7.094287106565801,-1669.2054722187565,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-11-01,2007-11-15,-4.236359523891769,-1013.7585381993908,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-11-15,2007-11-29,-1.4928636222938845,-506.29944537773264,0
Candidate A: Equal-Weight Baseline Control,infy_ns,2007-11-15,2007-11-29,-4.907040091793196,-1331.364306729478,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2007-11-26,2007-12-10,2.6626061260412044,577.9286401216395,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-11-29,2007-12-13,6.525044107622787,1569.0101237062997,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2007-11-29,2007-12-13,5.861858426944588,1430.1086049849616,1
Candidate A: Equal-Weight Baseline Control,reliance_ns,2007-12-11,2007-12-26,0.32581595913118705,78.1115674400555,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-12-14,2007-12-28,3.9608731277184663,1167.1781045845505,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2007-12-17,2007-12-31,8.90603016531177,2099.52161001614,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-12-28,2008-01-11,-8.58429028492247,-2557.839624569116,0
Candidate A: Equal-Weight Baseline Control,infy_ns,2008-01-03,2008-01-17,-12.837261528806964,-3719.228985650443,0
Candidate A: Equal-Weight Baseline Control,reliance_ns,2008-01-04,2008-01-18,-6.508516072425051,-1508.5249498619312,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-01-11,2008-01-25,-10.668585440955338,-2559.3883078514286,0
Candidate A: Equal-Weight Baseline Control,infy_ns,2008-01-17,2008-01-31,0.5300925429570125,128.50790496053855,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-01-25,2008-02-08,1.509252677412148,422.8017806525482,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2008-01-25,2008-02-08,-10.396401052713664,-2329.9567756950246,0
Candidate A: Equal-Weight Baseline Control,infy_ns,2008-02-01,2008-02-15,-1.8802616106315235,-428.759038642409,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-02-08,2008-02-22,0.18919059871111468,45.273090423023376,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2008-02-08,2008-02-22,2.192357706336235,507.7533964216927,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-02-22,2008-03-07,-6.087728514157371,-1412.1967531229725,0
Candidate A: Equal-Weight Baseline Control,infy_ns,2008-02-21,2008-03-07,-12.14803041951145,-2794.411708352494,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2008-02-25,2008-03-10,-7.800656876500456,-1816.8921637300152,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-03-07,2008-03-24,-2.7018686466346233,-621.1668836384013,0
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2008-03-07,2008-03-24,-10.253089485637451,-2300.1712985940662,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2008-03-10,2008-03-24,2.2668041799892635,504.1842652634572,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2008-03-11,2008-03-25,4.571383204250975,813.4163515028997,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-03-24,2008-04-07,9.705950249642454,1815.8617678508972,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2008-03-24,2008-04-07,1.0838207363054668,205.85821018890206,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2008-03-24,2008-04-07,-2.9176362101894457,-576.0654557743304,0
Candidate A: Equal-Weight Baseline Control,infy_ns,2008-03-26,2008-04-09,-1.3531192933451774,-264.08581626285076,0
Candidate A: Equal-Weight Baseline Control,reliance_ns,2008-04-02,2008-04-16,12.699914120620793,1982.895198380226,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-04-07,2008-04-21,9.822293022225278,1630.0767922621967,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2008-04-07,2008-04-21,12.016237188833196,2517.4145538004777,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2008-04-09,2008-04-23,11.296059362820909,2328.18921134867,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-04-21,2008-05-05,-6.6854978438628105,-1581.3159633878645,0
Candidate A: Equal-Weight Baseline Control,infy_ns,2008-04-23,2008-05-07,11.849752966776459,3342.0581838851913,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2008-04-24,2008-05-08,4.505472723670682,1016.5647861610253,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-05-05,2008-05-20,3.0375667712886476,682.3782305735133,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2008-05-07,2008-05-21,1.3862578775778056,336.59506061228933,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2008-05-08,2008-05-22,-8.306555942702989,-2005.2493578379635,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-05-20,2008-06-03,1.9414783275715615,464.82587839834497,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2008-05-22,2008-06-05,6.165870624007132,1484.554764733334,1
Candidate A: Equal-Weight Baseline Control,reliance_ns,2008-05-22,2008-06-05,-14.484623468124234,-2789.9666530463005,0
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2008-05-23,2008-06-06,-10.792256072261011,-2140.786764889117,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2008-05-23,2008-06-06,-10.833597041263786,-1719.1898343991406,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-06-03,2008-06-17,-5.5694698513312195,-978.9224550957069,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2008-06-06,2008-06-20,-10.933439893316619,-3152.873144124556,0
Candidate A: Equal-Weight Baseline Control,reliance_ns,2008-06-09,2008-06-23,-6.381505270205076,-1472.186377340795,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-06-17,2008-07-01,-8.03471470453068,-1749.574786528316,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2008-06-20,2008-07-04,-8.96427356421842,-2022.069032256639,0
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2008-06-24,2008-07-08,-15.515494535732884,-3470.0495407257,0
Candidate A: Equal-Weight Baseline Control,infy_ns,2008-06-25,2008-07-09,4.250125913946213,760.4345419606085,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-07-01,2008-07-15,-11.49289977612763,-2105.356947861254,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2008-07-04,2008-07-18,3.3672630326656767,631.7655844867945,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2008-07-09,2008-07-23,18.759964253273274,4224.573432163703,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2008-07-11,2008-07-25,-7.5722502330426655,-1364.1615399400714,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-07-15,2008-07-29,7.712717099031193,1361.672434829899,1
Candidate A: Equal-Weight Baseline Control,reliance_ns,2008-07-15,2008-07-29,5.292733338428595,747.541391632137,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2008-07-18,2008-08-01,7.0803190893873005,1074.6428188803561,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-07-29,2008-08-12,1.2226172994280826,301.06436235810617,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2008-07-29,2008-08-12,21.816635050983745,4946.694087041032,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2008-08-01,2008-08-18,3.9066669513447643,708.6367357053759,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2008-08-01,2008-08-18,8.539947548343708,1516.8515928800284,1
Candidate A: Equal-Weight Baseline Control,reliance_ns,2008-08-05,2008-08-19,-2.528930725418081,-359.3476496119832,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-08-12,2008-08-26,1.7556256086752844,287.09226908174793,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2008-08-18,2008-09-01,1.0613092074328705,237.47699596709077,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2008-08-18,2008-09-01,7.818605966299826,1701.0488130226775,1
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2008-08-21,2008-09-04,11.277257054834394,2275.204774851654,1
Candidate A: Equal-Weight Baseline Control,reliance_ns,2008-08-25,2008-09-08,-4.474309351204203,-722.1592946245172,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2008-08-26,2008-09-09,3.634985966048484,590.323990955862,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2008-09-01,2008-09-15,-8.468583258354268,-1483.2483160134095,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2008-09-01,2008-09-15,-7.355908000186637,-1375.795099140468,0
Candidate A: Equal-Weight Baseline Control,reliance_ns,2008-09-08,2008-09-22,-4.459013129451242,-1004.8957074452054,0
