date,portfolio_equity
2013-04-26,198843.10011528758
2013-04-29,203092.58259158023
2013-04-30,199102.0656348482
2013-05-02,180771.49148914457
2013-05-03,229268.52750004616
2013-05-06,203517.51618443493
2013-05-07,200687.86421136145
2013-05-08,204173.1379458232
2013-05-09,204231.38841821108
2013-05-10,204111.61001246402
2013-05-13,172263.06344242315
2013-05-14,202727.06250305093
2013-05-15,203122.05807683873
2013-05-16,202436.7906009946
2013-05-17,174043.7774798706
2013-05-20,203308.27694624633
2013-05-21,174287.52680938476
2013-05-22,203620.86798259144
2013-05-23,203620.86798259144
2013-05-24,203620.86798259144
2013-05-27,244304.3174055132
2013-05-28,204321.8060748339
2013-05-29,204542.8319482258
2013-05-30,203997.634575277
2013-05-31,202499.5721438053
2013-06-03,234142.58530589123
2013-06-04,200987.51523663144
2013-06-05,201950.2635208508
2013-06-06,202033.2056002859
2013-06-07,201253.98969612026
2013-06-10,195870.51239783797
2013-06-11,226515.99870124116
2013-06-12,199780.9094735918
2013-06-13,220647.52786368865
2013-06-14,201494.27979777908
2013-06-17,170755.81788465925
2013-06-18,201436.75813221064
2013-06-19,201866.21723081128
2013-06-20,198914.3527312098
2013-06-21,198904.53663886196
2013-06-24,194726.01192147887
2013-06-25,173022.56136115472
2013-06-26,199464.8722824072
2013-06-27,178972.371244488
2013-06-28,202533.09814741975
2013-07-01,237288.3651692697
2013-07-02,203208.3730488417
2013-07-03,201925.8861857653
2013-07-04,202329.6249757787
2013-07-05,202659.7960760742
2013-07-08,168225.32168450792
2013-07-09,201601.50924374926
2013-07-10,201734.72458599164
2013-07-11,202350.0476519466
2013-07-12,202427.75793251698
2013-07-15,236223.5373046563
2013-07-16,200692.23287639496
2013-07-17,200494.9024173887
2013-07-18,200714.8050569725
2013-07-19,227121.79681988744
2013-07-22,200339.26363922097
2013-07-23,201079.5182140964
2013-07-24,199932.66740248504
2013-07-25,198758.26245436966
2013-07-26,198611.93685512594
2013-07-29,135622.98508367565
2013-07-30,198752.3899129486
2013-07-31,198884.4860625676
2013-08-01,198931.83251847682
2013-08-02,170764.0064291402
2013-08-05,199255.21019943999
2013-08-06,239066.4011972881
2013-08-07,199302.66670119116
2013-08-08,199615.1481867144
2013-08-12,199247.5224559211
2013-08-13,200419.31934948434
2013-08-14,201035.08839922695
2013-08-16,230708.1747700045
2013-08-19,196591.395038335
2013-08-20,184799.4417494632
2013-08-21,195572.59620021877
2013-08-22,225344.23775907268
2013-08-23,199462.71470181647
2013-08-26,199944.70355583954
2013-08-27,196802.0686432619
2013-08-28,198147.78227061036
2013-08-29,200492.1676228513
2013-08-30,170236.23787275882
2013-09-02,203264.09970943735
