feature,importance,model,fold,config
PRICE_CHANGE_PCT,0.0005767434123664455,logistic_regression,1,MOMENTUM
DAILY_RETURN,5.767434123785363e-06,logistic_regression,1,MOMENTUM
ROC_12,0.17429665785733633,random_forest,1,MOMENTUM
MOMENTUM_10,0.17410591023740013,random_forest,1,MOMENTUM
RSI_14,0.17034763065147673,random_forest,1,MOMENTUM
MOMENTUM_20,0.16819616070151527,random_forest,1,MOMENTUM
DAILY_RETURN,0.157511125918804,random_forest,1,MOMENTUM
PRICE_CHANGE_PCT,0.15554251463346755,random_forest,1,MOMENTUM
MOMENTUM_10,0.17381080985069275,xgboost,1,MOMENTUM
DAILY_RETURN,0.17292703688144684,xgboost,1,MOMENTUM
ROC_12,0.17098191380500793,xgboost,1,MOMENTUM
RSI_14,0.16410818696022034,xgboost,1,MOMENTUM
MOMENTUM_20,0.15945053100585938,xgboost,1,MOMENTUM
PRICE_CHANGE_PCT,0.15872158110141754,xgboost,1,MOMENTUM
ROC_12,0.013963060316835429,logistic_regression,2,MOMENTUM
RSI_14,0.008272718166724593,logistic_regression,2,MOMENTUM
MOMENTUM_20,0.0028820909245830125,logistic_regression,2,MOMENTUM
MOMENTUM_10,0.00162061969849538,logistic_regression,2,MOMENTUM
PRICE_CHANGE_PCT,0.00027604507661326845,logistic_regression,2,MOMENTUM
DAILY_RETURN,2.760450766033381e-06,logistic_regression,2,MOMENTUM
ROC_12,0.17526393174150692,random_forest,2,MOMENTUM
MOMENTUM_10,0.17402504864164456,random_forest,2,MOMENTUM
RSI_14,0.17338352088539688,random_forest,2,MOMENTUM
MOMENTUM_20,0.17333054236698295,random_forest,2,MOMENTUM
PRICE_CHANGE_PCT,0.15318168537153273,random_forest,2,MOMENTUM
DAILY_RETURN,0.15081527099293593,random_forest,2,MOMENTUM
MOMENTUM_10,0.17694267630577087,xgboost,2,MOMENTUM
ROC_12,0.17493011057376862,xgboost,2,MOMENTUM
RSI_14,0.16732044517993927,xgboost,2,MOMENTUM
PRICE_CHANGE_PCT,0.16678881645202637,xgboost,2,MOMENTUM
MOMENTUM_20,0.16410186886787415,xgboost,2,MOMENTUM
DAILY_RETURN,0.14991605281829834,xgboost,2,MOMENTUM
ROC_12,0.01139077830655492,logistic_regression,3,MOMENTUM
RSI_14,0.007370572147369542,logistic_regression,3,MOMENTUM
MOMENTUM_20,0.0036114692701194676,logistic_regression,3,MOMENTUM
PRICE_CHANGE_PCT,0.0018137973122153562,logistic_regression,3,MOMENTUM
MOMENTUM_10,0.0007632165945561673,logistic_regression,3,MOMENTUM
DAILY_RETURN,1.8137973122083117e-05,logistic_regression,3,MOMENTUM
MOMENTUM_10,0.1781327405189351,random_forest,3,MOMENTUM
MOMENTUM_20,0.1751583631678379,random_forest,3,MOMENTUM
RSI_14,0.17055476922517485,random_forest,3,MOMENTUM
ROC_12,0.1705067275414331,random_forest,3,MOMENTUM
DAILY_RETURN,0.15333013331597192,random_forest,3,MOMENTUM
PRICE_CHANGE_PCT,0.152317266230647,random_forest,3,MOMENTUM
ROC_12,0.17524974048137665,xgboost,3,MOMENTUM
MOMENTUM_10,0.17129698395729065,xgboost,3,MOMENTUM
MOMENTUM_20,0.1694008857011795,xgboost,3,MOMENTUM
RSI_14,0.16495637595653534,xgboost,3,MOMENTUM
DAILY_RETURN,0.1603219360113144,xgboost,3,MOMENTUM
PRICE_CHANGE_PCT,0.1587740033864975,xgboost,3,MOMENTUM
ATR_14,0.27874316863807824,logistic_regression,1,VOLATILITY
TRUE_RANGE,0.1967943410453414,logistic_regression,1,VOLATILITY
ROLLING_STD_20,0.1554545754033063,logistic_regression,1,VOLATILITY
HIST_VOL_20,0.07943350584914066,logistic_regression,1,VOLATILITY
DAILY_RANGE_PCT,0.06433582035700454,logistic_regression,1,VOLATILITY
ROLLING_STD_20,0.21714880304796727,random_forest,1,VOLATILITY
HIST_VOL_20,0.20495808314739053,random_forest,1,VOLATILITY
DAILY_RANGE_PCT,0.1983128416841801,random_forest,1,VOLATILITY
ATR_14,0.19793340169705137,random_forest,1,VOLATILITY
TRUE_RANGE,0.18164687042341077,random_forest,1,VOLATILITY
ROLLING_STD_20,0.21351295709609985,xgboost,1,VOLATILITY
DAILY_RANGE_PCT,0.20341546833515167,xgboost,1,VOLATILITY
TRUE_RANGE,0.20041950047016144,xgboost,1,VOLATILITY
HIST_VOL_20,0.19453060626983643,xgboost,1,VOLATILITY
ATR_14,0.18812143802642822,xgboost,1,VOLATILITY
HIST_VOL_20,0.09900266978309726,logistic_regression,2,VOLATILITY
ATR_14,0.019756580652717,logistic_regression,2,VOLATILITY
ROLLING_STD_20,0.01882840700831481,logistic_regression,2,VOLATILITY
DAILY_RANGE_PCT,0.00888874009873372,logistic_regression,2,VOLATILITY
TRUE_RANGE,0.0006809080955187727,logistic_regression,2,VOLATILITY
HIST_VOL_20,0.2080841010391267,random_forest,2,VOLATILITY
ROLLING_STD_20,0.20466888757403218,random_forest,2,VOLATILITY
ATR_14,0.19861699431097002,random_forest,2,VOLATILITY
DAILY_RANGE_PCT,0.1962315867479361,random_forest,2,VOLATILITY
TRUE_RANGE,0.19239843032793508,random_forest,2,VOLATILITY
HIST_VOL_20,0.21060232818126678,xgboost,2,VOLATILITY
ROLLING_STD_20,0.2057822346687317,xgboost,2,VOLATILITY
DAILY_RANGE_PCT,0.1968434453010559,xgboost,2,VOLATILITY
ATR_14,0.1951155811548233,xgboost,2,VOLATILITY
TRUE_RANGE,0.19165648519992828,xgboost,2,VOLATILITY
HIST_VOL_20,0.07705361145069346,logistic_regression,3,VOLATILITY
ATR_14,0.020194227255890967,logistic_regression,3,VOLATILITY
ROLLING_STD_20,0.016351122469102992,logistic_regression,3,VOLATILITY
TRUE_RANGE,0.0001954186313490207,logistic_regression,3,VOLATILITY
DAILY_RANGE_PCT,0.00011261808046809434,logistic_regression,3,VOLATILITY
ROLLING_STD_20,0.20630831249746706,random_forest,3,VOLATILITY
HIST_VOL_20,0.20446683571316282,random_forest,3,VOLATILITY
ATR_14,0.20098584687714863,random_forest,3,VOLATILITY
DAILY_RANGE_PCT,0.19479397100997992,random_forest,3,VOLATILITY
TRUE_RANGE,0.19344503390224158,random_forest,3,VOLATILITY
ROLLING_STD_20,0.20408132672309875,xgboost,3,VOLATILITY
HIST_VOL_20,0.20311740040779114,xgboost,3,VOLATILITY
ATR_14,0.20244155824184418,xgboost,3,VOLATILITY
DAILY_RANGE_PCT,0.19518665969371796,xgboost,3,VOLATILITY
TRUE_RANGE,0.19517309963703156,xgboost,3,VOLATILITY
VOLUME_EMA_20,2.186020474781614e-09,logistic_regression,1,VOLUME
VOLUME_SMA_20,8.512488087386143e-10,logistic_regression,1,VOLUME
OBV,1.5455188488790448e-11,logistic_regression,1,VOLUME
VOLUME_CHANGE_PCT,1.9695818395576254e-15,logistic_regression,1,VOLUME
VOLUME_RATIO,1.4518996522677166e-15,logistic_regression,1,VOLUME
VOLUME_SMA_20,0.2076449153728362,random_forest,1,VOLUME
VOLUME_EMA_20,0.20393838283586013,random_forest,1,VOLUME
OBV,0.20353900293867128,random_forest,1,VOLUME
VOLUME_RATIO,0.1934177804089529,random_forest,1,VOLUME
VOLUME_CHANGE_PCT,0.1914599184436795,random_forest,1,VOLUME
VOLUME_EMA_20,0.20522691309452057,xgboost,1,VOLUME
OBV,0.20378945767879486,xgboost,1,VOLUME
VOLUME_SMA_20,0.19983717799186707,xgboost,1,VOLUME
VOLUME_CHANGE_PCT,0.19659940898418427,xgboost,1,VOLUME
VOLUME_RATIO,0.1945471167564392,xgboost,1,VOLUME
VOLUME_SMA_20,9.012882219295219e-10,logistic_regression,2,VOLUME
VOLUME_EMA_20,3.6032758128063514e-10,logistic_regression,2,VOLUME
OBV,7.883051519701014e-12,logistic_regression,2,VOLUME
VOLUME_CHANGE_PCT,7.210306846274844e-15,logistic_regression,2,VOLUME
VOLUME_RATIO,1.756282768276223e-17,logistic_regression,2,VOLUME
OBV,0.20846609999844287,random_forest,2,VOLUME
VOLUME_SMA_20,0.19931183844965933,random_forest,2,VOLUME
VOLUME_CHANGE_PCT,0.19925487350378493,random_forest,2,VOLUME
VOLUME_RATIO,0.19875287548277168,random_forest,2,VOLUME
VOLUME_EMA_20,0.19421431256534116,random_forest,2,VOLUME
VOLUME_EMA_20,0.2079482525587082,xgboost,2,VOLUME
