date,fold,cash,position_value,total_equity,daily_return,cumulative_return,exposure
2006-05-19,1,0.0,124663.37952633169,124663.37952633169,-0.018275504600410105,0.24663379526331686,100.0
2006-05-22,1,0.0,117294.35676341322,117294.35676341322,-0.059111366873877864,0.17294356763413218,100.0
2006-05-23,1,0.0,120568.45044714145,120568.45044714145,0.027913480017902274,0.20568450447141454,100.0
2006-05-24,1,0.0,117963.67137942037,117963.67137942037,-0.021604151484579715,0.17963671379420368,100.0
2006-05-25,1,0.0,123648.86901928966,123648.86901928966,0.04819447863387811,0.23648869019289662,100.0
2006-05-26,1,0.0,122950.57229474015,122950.57229474015,-0.005647416996920307,0.2295057229474015,100.0
2006-05-29,1,0.0,121909.71734053253,121909.71734053253,-0.008465637327107827,0.2190971734053253,100.0
2006-05-30,1,0.0,122555.30908744979,122555.30908744979,0.005295654530261224,0.22555309087449787,100.0
2006-05-31,1,0.0,117452.46365465946,117452.46365465946,-0.04163708182686053,0.17452463654659456,100.0
2006-06-01,1,0.0,112607.85170397583,112607.85170397583,-0.04124742725642635,0.1260785170397583,100.0
2006-06-02,1,0.0,118065.51528083673,118065.51528083673,0.04846610155753646,0.18065515280836728,100.0
2006-06-05,1,0.0,116328.09472014946,116328.09472014946,-0.014715732672275668,0.16328094720149455,100.0
2006-06-06,1,0.0,115097.42617453412,115097.42617453412,-0.010579289109616686,0.1509742617453412,100.0
2006-06-07,1,0.0,112139.86109587534,112139.86109587534,-0.025696187803312977,0.12139861095875341,100.0
2006-06-08,1,0.0,108450.48244913584,108450.48244913584,-0.032899796831255365,0.08450482449135845,100.0
2006-06-09,1,0.0,109981.25448838658,109981.25448838658,0.014114939875612607,0.09981254488386578,100.0
2006-06-12,1,0.0,107848.96598361625,107848.96598361625,-0.01938774489061215,0.07848965983616246,100.0
2006-06-13,1,0.0,103347.46981434751,103347.46981434751,-0.04173889038447133,0.033474698143475104,100.0
2006-06-14,1,0.0,97641.63123579076,97641.63123579076,-0.05521023967792022,-0.02358368764209241,100.0
2006-06-15,1,0.0,102044.41041903873,102044.41041903873,0.04509120881661512,0.020444104190387297,100.0
