asset,config,model,fold,feature,importance
reliance_ns,ALL_32,xgboost,2,HIST_VOL_20,0.02922525629401207
reliance_ns,ALL_32,xgboost,2,High,0.0292202215641737
reliance_ns,ALL_32,xgboost,2,OPEN_CLOSE_PCT,0.0289007481187582
reliance_ns,ALL_32,xgboost,2,ATR_14,0.028487518429756165
reliance_ns,ALL_32,xgboost,2,MOMENTUM_20,0.02824457176029682
reliance_ns,ALL_32,xgboost,2,Adj Close,0.028151025995612144
reliance_ns,ALL_32,xgboost,2,MOMENTUM_10,0.027390528470277786
reliance_ns,ALL_32,xgboost,2,HIGH_LOW_PCT,0.02694200910627842
reliance_ns,ALL_32,logistic_regression,3,EMA_50,0.5598564304312166
reliance_ns,ALL_32,logistic_regression,3,EMA_20,0.4883894949996519
reliance_ns,ALL_32,logistic_regression,3,SMA_50,0.47518659132497626
reliance_ns,ALL_32,logistic_regression,3,SMA_20,0.4426126474058176
reliance_ns,ALL_32,logistic_regression,3,OBV,0.2194158877291623
reliance_ns,ALL_32,logistic_regression,3,Open,0.20063359416779514
reliance_ns,ALL_32,logistic_regression,3,ROC_12,0.16192937633882917
reliance_ns,ALL_32,logistic_regression,3,VOLUME_CHANGE_PCT,0.14104744207643255
reliance_ns,ALL_32,logistic_regression,3,GAP_PCT,0.1393140935667044
reliance_ns,ALL_32,logistic_regression,3,RSI_14,0.10868651016064476
reliance_ns,ALL_32,logistic_regression,3,HIST_VOL_20,0.09729372534894684
reliance_ns,ALL_32,logistic_regression,3,Low,0.08741876735665263
reliance_ns,ALL_32,logistic_regression,3,High,0.08580418031675982
reliance_ns,ALL_32,logistic_regression,3,ROLLING_STD_20,0.08406472387772179
reliance_ns,ALL_32,logistic_regression,3,VOLUME_RATIO,0.06835894589359934
reliance_ns,ALL_32,logistic_regression,3,LOWER_WICK,0.0640334382086834
reliance_ns,ALL_32,logistic_regression,3,VOLUME_SMA_20,0.06175275976569247
reliance_ns,ALL_32,logistic_regression,3,Adj Close,0.051060105594314176
reliance_ns,ALL_32,logistic_regression,3,ATR_14,0.041771782523903934
reliance_ns,ALL_32,logistic_regression,3,DAILY_RETURN,0.03992429755303408
reliance_ns,ALL_32,logistic_regression,3,PRICE_CHANGE_PCT,0.03992429755299906
reliance_ns,ALL_32,logistic_regression,3,TRUE_RANGE,0.033079686099949164
reliance_ns,ALL_32,logistic_regression,3,Close,0.026189433575998743
reliance_ns,ALL_32,logistic_regression,3,UPPER_WICK,0.02425638231238404
reliance_ns,ALL_32,logistic_regression,3,Volume,0.020135178901341727
reliance_ns,ALL_32,logistic_regression,3,DAILY_RANGE_PCT,0.0181937403849753
reliance_ns,ALL_32,logistic_regression,3,HIGH_LOW_PCT,0.0181937403849753
reliance_ns,ALL_32,logistic_regression,3,MOMENTUM_20,0.011437166949143457
reliance_ns,ALL_32,logistic_regression,3,OPEN_CLOSE_PCT,0.008857970124486981
reliance_ns,ALL_32,logistic_regression,3,BODY_SIZE,0.005561816829641779
reliance_ns,ALL_32,logistic_regression,3,VOLUME_EMA_20,0.0020323679459462174
reliance_ns,ALL_32,logistic_regression,3,MOMENTUM_10,0.0013116132358445998
reliance_ns,ALL_32,random_forest,3,GAP_PCT,0.041112532872764486
reliance_ns,ALL_32,random_forest,3,VOLUME_CHANGE_PCT,0.0384542467933517
reliance_ns,ALL_32,random_forest,3,VOLUME_RATIO,0.03699678104891816
reliance_ns,ALL_32,random_forest,3,HIST_VOL_20,0.036650692486362935
reliance_ns,ALL_32,random_forest,3,ROC_12,0.03651078329309923
reliance_ns,ALL_32,random_forest,3,MOMENTUM_20,0.03594472781966801
reliance_ns,ALL_32,random_forest,3,RSI_14,0.03489201423221805
reliance_ns,ALL_32,random_forest,3,MOMENTUM_10,0.03462616493291342
reliance_ns,ALL_32,random_forest,3,UPPER_WICK,0.03450816145346585
reliance_ns,ALL_32,random_forest,3,BODY_SIZE,0.03437977417373472
reliance_ns,ALL_32,random_forest,3,LOWER_WICK,0.03429670027448637
reliance_ns,ALL_32,random_forest,3,ROLLING_STD_20,0.03406657057755761
reliance_ns,ALL_32,random_forest,3,Volume,0.03286093248916209
reliance_ns,ALL_32,random_forest,3,DAILY_RETURN,0.03242423845297232
reliance_ns,ALL_32,random_forest,3,OBV,0.032402747348697164
